IM Position|Description|Approval Year|Program Plan|Program Budget|Appr. Request Plan|MRA Available Budget|Appr. Request|AR Description|AR Value|Actual
111103-PK12-6111002|Biaya Pendidikan & Latihan Luar Negeri|2018|                  0|                  0|                  0|                  0|||                  0|                  0
111103-PK12-6111003|Biaya SPD Pelatihan Dalam Negeri|2018|                  0|                  0|                  0|                  0|||                  0|                  0
111103-PK12-6111004|Biaya SPD Pelatihan Luar Negeri|2018|                  0|                  0|                  0|                  0|||                  0|                  0
111103-PK13|Corporate Secretary|2018|         5500000000|         1375000000|          839924665|          535075335|||                  0|                  0
111103-PK13-6112002|Langganan-langganan dan Penerbitan|2018|                  0|                  0|                  0|                  0|||                  0|                  0
111103-PK13-6112003|Ongkos-ongkos dan Biaya Assosiasi|2018|                  0|                  0|                  0|                  0|||                  0|                  0
111103-PK13-6112004|Ongkos-ongkos Representasi|2018|                  0|                  0|                  0|                  0|||                  0|                  0
111103-PK13-6112005|Biaya Relasi Perusahaan|2018|          500000000|          125000000|           75244665|           49755335|2308494|Biaya Event Tenis Meja|           75244665|                  0
111103-PK13-6112008|Legal  Fees|2018|         5000000000|         1250000000|          764680000|          485320000|2308502|Biaya Jasa Konsultan Hukum|          300000000|                  0
111103-PK13-6112008||0000|                  0|                  0|                  0|                  0|2308510|Biaya Jasa Konsultan Hukum|          375000000|                  0
111103-PK13-6112008||0000|                  0|                  0|                  0|                  0|2308520|Biaya Jasa Notaris|           35000000|                  0
111103-PK13-6112008||0000|                  0|                  0|                  0|                  0|2308546|Biaya Jasa Konsultan Hukum|           54680000|                  0
111103-PK13-6112009|Ongkos-ongkos Umum Lainnya|2018|                  0|                  0|                  0|                  0|||                  0|                  0
111104|Subdit Legal & Risk Management|2018|                  0|                  0|                  0|                  0|||                  0|                  0
111104-PK06|GM Human Capital Planning & Development|2018|                  0|                  0|                  0|                  0|||                  0|                  0
111104-PK06-6102007|Makan & Ekstra Food|2018|                  0|                  0|                  0|                  0|||                  0|                  0
111104-PK06-6110001|Biaya Tenaga Ahli dan Konsultan|2018|                  0|                  0|                  0|                  0|||                  0|                  0
111104-PK06-6111005|Biaya Peningkatan Mutu Manajemen|2018|                  0|                  0|                  0|                  0|||                  0|                  0
111104-PK08|GM Security & General Affair|2018|                  0|                  0|                  0|                  0|||                  0|                  0
111104-PK08-1401006|Peralatan|2018|                  0|                  0|                  0|                  0|||                  0|                  0
111104-PK08-6101005|Jasa Borongan Outsourcing Non Produksi|2018|                  0|                  0|                  0|                  0|||                  0|                  0
111104-PK08-6105002|Biaya Perawatan Gedung|2018|                  0|                  0|                  0|                  0|||                  0|                  0
111104-PK08-6105005|Biaya Perawatan Lapangan dan Lingkungan|2018|                  0|                  0|                  0|                  0|||                  0|                  0
111104-PK08-6106004|Biaya Sewa Lain-Lain|2018|                  0|                  0|                  0|                  0|||                  0|                  0
111104-PK08-6112001|Office Supplies & Perlengkapan Kantor|2018|                  0|                  0|                  0|                  0|||                  0|                  0
111104-PK08-6112006|Ongkos Percetakan dan Reproduksi|2018|                  0|                  0|                  0|                  0|||                  0|                  0
111104-PK10|GM SCM & Quality Assurance|2018|                  0|                  0|                  0|                  0|||                  0|                  0
111104-PK10-1401006|Peralatan|2018|                  0|                  0|                  0|                  0|||                  0|                  0
111104-PK12|GM Human Capital Planning & Development|2018|                  0|                  0|                  0|                  0|||                  0|                  0
111104-PK12-6101005|Jasa Borongan Outsourcing Non Produksi|2018|                  0|                  0|                  0|                  0|||                  0|                  0
111104-PK12-6111001|Biaya Pendidikan & Latihan Dalam Negeri|2018|                  0|                  0|                  0|                  0|||                  0|                  0
111104-PK12-6111003|Biaya SPD Pelatihan Dalam Negeri|2018|                  0|                  0|                  0|                  0|||                  0|                  0
111104-PK13|Corporate Secretary|2018|                  0|                  0|                  0|                  0|||                  0|                  0
111104-PK13-6112002|Langganan-langganan dan Penerbitan|2018|                  0|                  0|                  0|                  0|||                  0|                  0
111104-PK13-6112003|Ongkos-ongkos dan Biaya Assosiasi|2018|                  0|                  0|                  0|                  0|||                  0|                  0
111104-PK13-6112004|Ongkos-ongkos Representasi|2018|                  0|                  0|                  0|                  0|||                  0|                  0
111104-PK13-6112005|Biaya Relasi Perusahaan|2018|                  0|                  0|                  0|                  0|||                  0|                  0
111104-PK13-6112007|Biaya Bantuan Sosial|2018|                  0|                  0|                  0|                  0|||                  0|                  0
111104-PK13-6112009|Ongkos-ongkos Umum Lainnya|2018|                  0|                  0|                  0|                  0|||                  0|                  0
111104-PK13-6201001|Iklan dan Promosi Penjualan|2018|                  0|                  0|                  0|                  0|||                  0|                  0
111106|WBBM|2018|                  0|                  0|                  0|                  0|||                  0|                  0
111106-PK03|GM Corporate Finance|2018|                  0|                  0|                  0|                  0|||                  0|                  0
111106-PK03-6106001|Biaya Asuransi|2018|                  0|                  0|                  0|                  0|||                  0|                  0
111106-PK08|GM Security & General Affair|2018|                  0|                  0|                  0|                  0|||                  0|                  0
111106-PK08-6101005|Jasa Borongan Outsourcing Non Produksi|2018|                  0|                  0|                  0|                  0|||                  0|                  0
111106-PK08-6106004|Biaya Sewa Lain-Lain|2018|                  0|                  0|                  0|                  0|||                  0|                  0
111107|Proyek ERP|2018|                  0|                  0|                  0|                  0|||                  0|                  0
111107-PK05|GM Program Management Office|2018|                  0|                  0|                  0|                  0|||                  0|                  0
111107-PK05-1401008|Aktiva Tetap Lain-lain|2018|                  0|                  0|                  0|                  0|||                  0|                  0
111107-PK06|GM Human Capital Planning & Development|2018|                  0|                  0|                  0|                  0|||                  0|                  0
111107-PK06-6102007|Makan & Ekstra Food|2018|                  0|                  0|                  0|                  0|||                  0|                  0
111107-PK08|GM Security & General Affair|2018|                  0|                  0|                  0|                  0|||                  0|                  0
111107-PK08-6101005|Jasa Borongan Outsourcing Non Produksi|2018|                  0|                  0|                  0|                  0|||                  0|                  0
111107-PK08-6105002|Biaya Perawatan Gedung|2018|                  0|                  0|                  0|                  0|||                  0|                  0
111107-PK08-6112001|Office Supplies & Perlengkapan Kantor|2018|                  0|                  0|                  0|                  0|||                  0|                  0
111107-PK12|GM Human Capital Planning & Development|2018|                  0|                  0|                  0|                  0|||                  0|                  0
111107-PK12-6111001|Biaya Pendidikan & Latihan Dalam Negeri|2018|                  0|                  0|                  0|                  0|||                  0|                  0
111107-PK12-6111003|Biaya SPD Pelatihan Dalam Negeri|2018|                  0|                  0|                  0|                  0|||                  0|                  0
111109|Divisi GCG & Risk Management|2018|          747888000|          515944000|          205400000|          310544000|||                  0|                  0
111109-PK06|GM Human Capital Planning & Development|2018|          350000000|          175000000|                  0|          175000000|||                  0|                  0
111109-PK06-6102007|Makan & Ekstra Food|2018|                  0|                  0|                  0|                  0|||                  0|                  0
111109-PK06-6110001|Biaya Tenaga Ahli dan Konsultan|2018|          350000000|          175000000|                  0|          175000000|||                  0|                  0
111109-PK06-6111005|Biaya Peningkatan Mutu Manajemen|2018|                  0|                  0|                  0|                  0|||                  0|                  0
111109-PK08|GM Security & General Affair|2018|           40888000|           20444000|                  0|           20444000|||                  0|                  0
111109-PK08-1401006|Peralatan|2018|                  0|                  0|                  0|                  0|||                  0|                  0
111109-PK08-6101005|Jasa Borongan Outsourcing Non Produksi|2018|                  0|                  0|                  0|                  0|||                  0|                  0
111109-PK08-6105002|Biaya Perawatan Gedung|2018|                  0|                  0|                  0|                  0|||                  0|                  0
111109-PK08-6105006|By Perawatan Peralatan Kantor&Perabotan|2018|                  0|                  0|                  0|                  0|||                  0|                  0
111109-PK08-6108004|Perangko dan Telegram|2018|             300000|             150000|                  0|             150000|||                  0|                  0
111109-PK08-6108005|Telepon, Teleks dan Facsimile|2018|            7200000|            3600000|                  0|            3600000|||                  0|                  0
111109-PK08-6111005|Biaya Peningkatan Mutu Manajemen|2018|                  0|                  0|                  0|                  0|||                  0|                  0
111109-PK08-6112001|Office Supplies & Perlengkapan Kantor|2018|           18388000|            9194000|                  0|            9194000|||                  0|                  0
111109-PK08-6112006|Ongkos Percetakan dan Reproduksi|2018|           15000000|            7500000|                  0|            7500000|||                  0|                  0
111109-PK10|GM SCM & Quality Assurance|2018|          195000000|          195000000|          110400000|           84600000|||                  0|                  0
111109-PK10-1401006|Peralatan|2018|                  0|                  0|                  0|                  0|||                  0|                  0
111109-PK10-1401007|Software|2018|           75000000|           75000000|                  0|           75000000|||                  0|                  0
111109-PK10-6106003||0000|                  0|                  0|                  0|                  0|2308451||                  0|                  0
111109-PK10-6106003||0000|                  0|                  0|                  0|                  0|2308451||                  0|                  0
111109-PK10-6106003||0000|                  0|                  0|                  0|                  0|2308451||                  0|                  0
111109-PK10-6106003|Biaya Sewa Komputer|2018|          120000000|          120000000|          110400000|            9600000|2308451|Sewa Aplikasi SIMARIS|          110400000|                  0
111109-PK10-6106003||0000|                  0|                  0|                  0|                  0|2308451||                  0|                  0
111109-PK10-6106003||0000|                  0|                  0|                  0|                  0|2308451||                  0|                  0
111109-PK10-6112001|Office Supplies & Perlengkapan Kantor|2018|                  0|                  0|                  0|                  0|||                  0|                  0
111109-PK12|GM Human Capital Planning & Development|2018|                  0|                  0|                  0|                  0|||                  0|                  0
111109-PK12-6101005|Jasa Borongan Outsourcing Non Produksi|2018|                  0|                  0|                  0|                  0|||                  0|                  0
111109-PK12-6111001|Biaya Pendidikan & Latihan Dalam Negeri|2018|                  0|                  0|                  0|                  0|||                  0|                  0
111109-PK12-6111003|Biaya SPD Pelatihan Dalam Negeri|2018|                  0|                  0|                  0|                  0|||                  0|                  0
111109-PK13|Corporate Secretary|2018|          162000000|          125500000|           95000000|           30500000|||                  0|                  0
111109-PK13-6112002|Langganan-langganan dan Penerbitan|2018|           15000000|            3750000|                  0|            3750000|||                  0|                  0
111109-PK13-6112003|Ongkos-ongkos dan Biaya Assosiasi|2018|          140000000|          120000000|           95000000|           25000000|||                  0|                  0
111109-PK13-6112003||0000|                  0|                  0|                  0|                  0|2308452|Pengajuan UM Biaya Assesment GCG AP th buku 2017|           95000000|                  0
111109-PK13-6112009|Ongkos-ongkos Umum Lainnya|2018|            7000000|            1750000|                  0|            1750000|||                  0|                  0
111110|Divisi Corporate Communication|2018|        14218372000|        11900496500|        14366879343|         2466382843-|||                  0|                  0
111110-PK01|GM Marketing|2018|                  0|                  0|                  0|                  0|||                  0|                  0
111110-PK01-6201001|Iklan dan Promosi Penjualan|2018|                  0|                  0|                  0|                  0|||                  0|                  0
111110-PK05|GM Program Management Office|2018|         5901480000|         5901480000|        10901480000|         5000000000-|||                  0|                  0
111110-PK05-1401003|Gedung Dan Bangunan|2018|          901480000|         5901480000|         5901480000|                  0|||                  0|                  0
111110-PK05-1401003||0000|                  0|                  0|                  0|                  0|2100436|Pembangunan Lanjutan Gedung Document Centre|          901480000|                  0
111110-PK05-1401003||0000|                  0|                  0|                  0|                  0|2100450|Gedung & Bangunan|         5000000000|                  0
111110-PK05-1401008|Aktiva Tetap Lain-Lain|2018|         5000000000|                  0|         5000000000|         5000000000-|||                  0|                  0
111110-PK05-1401008||0000|                  0|                  0|                  0|                  0|2004688|Aktiva Tetap Lain-lain|         5000000000|                  0
111110-PK06|GM Human Capital Planning & Development|2018|                  0|                  0|                  0|                  0|||                  0|                  0
111110-PK06-6102007|Makan & Ekstra Food|2018|                  0|                  0|                  0|                  0|||                  0|                  0
111110-PK06-6110001|Biaya Tenaga Ahli dan Konsultan|2018|                  0|                  0|                  0|                  0|||                  0|                  0
111110-PK08|GM Security & General Affair|2018|         2914342000|         2369921000|          752802000|         1617119000|||                  0|                  0
111110-PK08-1401006|Peralatan|2018|          795500000|          795500000|           47500000|          748000000|2004669|Peralatan|           40000000|              53073
111110-PK08-1401006||0000|                  0|                  0|                  0|                  0|2004698|Peralatan|            7500000|                  0
111110-PK08-6101005|Jasa Borongan Outsourcing Non Produksi|2018|                  0|                  0|                  0|                  0|||                  0|                  0
111110-PK08-6105002|Biaya Perawatan Gedung|2018|           56642000|           28321000|                  0|           28321000|||                  0|                  0
111110-PK08-6106002|Biaya Sewa Kendaraan Utility|2018|                  0|                  0|                  0|                  0|||                  0|                  0
111110-PK08-6106004|Biaya Sewa Lain-Lain|2018|                  0|                  0|                  0|                  0|||                  0|                  0
111110-PK08-6108004|Perangko dan Telegram|2018|                  0|                  0|                  0|                  0|||                  0|                  0
111110-PK08-6108005|Telepon, Teleks dan Facsimile|2018|           58000000|           29000000|                  0|           29000000|||                  0|                  0
111110-PK08-6112001|Office Supplies & Perlengkapan Kantor|2018|          134200000|           67100000|                  0|           67100000|||                  0|                  0
111110-PK08-6112006|Ongkos Percetakan dan Reproduksi|2018|         1870000000|         1450000000|          705302000|          744698000|2308293|Ongkos Cetak & Reproduksi|                  0|                  0
111110-PK08-6112006||0000|                  0|                  0|                  0|                  0|2308302|Ongkos Cetak & Reproduksi|                  0|                  0
111110-PK08-6112006||0000|                  0|                  0|                  0|                  0|2308340|Biaya Cetak & Reproduksi|           23500000|                  0
111110-PK08-6112006||0000|                  0|                  0|                  0|                  0|2308364|Ongkos Cetak & Reproduksi|          440000000|                  0
111110-PK08-6112006||0000|                  0|                  0|                  0|                  0|2308543|Ongkos Cetak & Reproduksi|          241802000|                  0
111110-PK10|GM SCM & Quality Assurance|2018|           77550000|           77550000|                  0|           77550000|||                  0|                  0
111110-PK10-1401006|Peralatan|2018|           20000000|           20000000|                  0|           20000000|||                  0|                  0
