Material|Material Description|Sales Value (Rp)|Sales Value ($)|Billing Date|Billing Number|Net Weight|UoM|Dist. Channel|Invoice Value (Rp)|DP Value (Rp)|PPn Value (Rp)|PPh Value (Rp)|Invoice Value ($)|DP Value ($)|PPn Value ($)|PPh Value ($)
HSF|H R Sheet/Plate Finished|               0,00|               0,00|20181002|8000262229|          4.320,000|TO|D0|               0,00|               0,00|               0,00|               0,00|               0,00|               0,00|               0,00|               0,00
PCF|H R P&O Coil Finished|     106.400.000,00|           7.052,19|20181003|8000262382|         10.640,000|TO|D0|     117.359.200,00|               0,00|      10.640.000,00|         319.200,00|           7.778,57|               0,00|             705,22|              21,16
HSF|H R Sheet/Plate Finished|   1.324.878.000,00|          87.812,92|20181003|8000262406|          4.680,000|TO|D0|   1.461.340.434,00|               0,00|     132.487.800,00|       3.974.634,00|          96.857,64|               0,00|           8.781,29|             263,43
HSF|H R Sheet/Plate Finished|               0,00|               0,00|20181003|8000262406|         25.270,000|TO|D0|               0,00|               0,00|               0,00|               0,00|               0,00|               0,00|               0,00|               0,00
HSF|H R Sheet/Plate Finished|               0,00|               0,00|20181003|8000262406|         19.670,000|TO|D0|               0,00|               0,00|               0,00|               0,00|               0,00|               0,00|               0,00|               0,00
HSF|H R Sheet/Plate Finished|               0,00|               0,00|20181003|8000262406|          4.900,000|TO|D0|               0,00|               0,00|               0,00|               0,00|               0,00|               0,00|               0,00|               0,00
HSF|H R Sheet/Plate Finished|               0,00|               0,00|20181003|8000262406|         26.030,000|TO|D0|               0,00|               0,00|               0,00|               0,00|               0,00|               0,00|               0,00|               0,00
HSF|H R Sheet/Plate Finished|               0,00|               0,00|20181003|8000262406|         18.370,000|TO|D0|               0,00|               0,00|               0,00|               0,00|               0,00|               0,00|               0,00|               0,00
HSF|H R Sheet/Plate Finished|               0,00|               0,00|20181003|8000262406|         16.600,000|TO|D0|               0,00|               0,00|               0,00|               0,00|               0,00|               0,00|               0,00|               0,00
HSF|H R Sheet/Plate Finished|               0,00|               0,00|20181003|8000262406|          8.230,000|TO|D0|               0,00|               0,00|               0,00|               0,00|               0,00|               0,00|               0,00|               0,00
HSF|H R Sheet/Plate Finished|               0,00|               0,00|20181003|8000262406|          4.980,000|TO|D0|               0,00|               0,00|               0,00|               0,00|               0,00|               0,00|               0,00|               0,00
HSF|H R Sheet/Plate Finished|               0,00|               0,00|20181003|8000262406|          4.890,000|TO|D0|               0,00|               0,00|               0,00|               0,00|               0,00|               0,00|               0,00|               0,00
HSF|H R Sheet/Plate Finished|               0,00|               0,00|20181003|8000262406|          8.840,000|TO|D0|               0,00|               0,00|               0,00|               0,00|               0,00|               0,00|               0,00|               0,00
HCF|H R Coil Finished|   1.055.829.000,00|          69.980,34|20181003|8000262374|         45.500,000|TO|D0|     958.857.900,00|     184.140.000,00|      87.168.900,00|               0,00|          63.553,10|          12.204,80|           5.777,56|               0,00
HCF|H R Coil Finished|               0,00|               0,00|20181003|8000262374|         44.950,000|TO|D0|               0,00|               0,00|               0,00|               0,00|               0,00|               0,00|               0,00|               0,00
HCF|H R Coil Finished|               0,00|               0,00|20181003|8000262374|         23.080,000|TO|D0|               0,00|               0,00|               0,00|               0,00|               0,00|               0,00|               0,00|               0,00
HCF|H R Coil Finished|      97.650.000,00|           6.472,24|20181003|8000262427|         10.500,000|TO|D0|     107.707.950,00|               0,00|       9.765.000,00|         292.950,00|           7.138,88|               0,00|             647,22|              19,42
HCF|H R Coil Finished|      97.836.000,00|           6.484,57|20181003|8000262428|         10.520,000|TO|D0|     107.913.108,00|               0,00|       9.783.600,00|         293.508,00|           7.152,48|               0,00|             648,46|              19,45
HSF|H R Sheet/Plate Finished|   1.447.080.000,00|          97.084,61|20181001|8000262212|          4.280,000|TO|D0|   1.591.788.000,00|               0,00|     144.708.000,00|               0,00|         106.793,06|               0,00|           9.708,45|               0,00
HSF|H R Sheet/Plate Finished|               0,00|               0,00|20181001|8000262212|         21.420,000|TO|D0|               0,00|               0,00|               0,00|               0,00|               0,00|               0,00|               0,00|               0,00
HSF|H R Sheet/Plate Finished|               0,00|               0,00|20181001|8000262212|          4.320,000|TO|D0|               0,00|               0,00|               0,00|               0,00|               0,00|               0,00|               0,00|               0,00
HSF|H R Sheet/Plate Finished|               0,00|               0,00|20181001|8000262212|         10.250,000|TO|D0|               0,00|               0,00|               0,00|               0,00|               0,00|               0,00|               0,00|               0,00
HSF|H R Sheet/Plate Finished|               0,00|               0,00|20181001|8000262212|          4.320,000|TO|D0|               0,00|               0,00|               0,00|               0,00|               0,00|               0,00|               0,00|               0,00
HSF|H R Sheet/Plate Finished|               0,00|               0,00|20181001|8000262212|          8.210,000|TO|D0|               0,00|               0,00|               0,00|               0,00|               0,00|               0,00|               0,00|               0,00
HSF|H R Sheet/Plate Finished|               0,00|               0,00|20181001|8000262212|          8.640,000|TO|D0|               0,00|               0,00|               0,00|               0,00|               0,00|               0,00|               0,00|               0,00
HSF|H R Sheet/Plate Finished|               0,00|               0,00|20181001|8000262212|         17.170,000|TO|D0|               0,00|               0,00|               0,00|               0,00|               0,00|               0,00|               0,00|               0,00
HSF|H R Sheet/Plate Finished|               0,00|               0,00|20181001|8000262212|          8.550,000|TO|D0|               0,00|               0,00|               0,00|               0,00|               0,00|               0,00|               0,00|               0,00
HSF|H R Sheet/Plate Finished|               0,00|               0,00|20181001|8000262212|         17.690,000|TO|D0|               0,00|               0,00|               0,00|               0,00|               0,00|               0,00|               0,00|               0,00
HSF|H R Sheet/Plate Finished|               0,00|               0,00|20181001|8000262212|          7.700,000|TO|D0|               0,00|               0,00|               0,00|               0,00|               0,00|               0,00|               0,00|               0,00
HSF|H R Sheet/Plate Finished|               0,00|               0,00|20181001|8000262212|         26.110,000|TO|D0|               0,00|               0,00|               0,00|               0,00|               0,00|               0,00|               0,00|               0,00
HSF|H R Sheet/Plate Finished|               0,00|               0,00|20181001|8000262212|          4.600,000|TO|D0|               0,00|               0,00|               0,00|               0,00|               0,00|               0,00|               0,00|               0,00
HSF|H R Sheet/Plate Finished|               0,00|               0,00|20181001|8000262212|          4.610,000|TO|D0|               0,00|               0,00|               0,00|               0,00|               0,00|               0,00|               0,00|               0,00
HSF|H R Sheet/Plate Finished|               0,00|               0,00|20181001|8000262212|          7.730,000|TO|D0|               0,00|               0,00|               0,00|               0,00|               0,00|               0,00|               0,00|               0,00
HCF|H R Coil Finished|     516.708.000,00|          34.665,94|20181001|8000262204|         22.400,000|TO|D0|     569.928.924,00|               0,00|      51.670.800,00|       1.550.124,00|          38.236,53|               0,00|           3.466,60|             103,99
HCF|H R Coil Finished|               0,00|               0,00|20181001|8000262204|         22.040,000|TO|D0|               0,00|               0,00|               0,00|               0,00|               0,00|               0,00|               0,00|               0,00
HCF|H R Coil Finished|               0,00|               0,00|20181001|8000262204|         11.120,000|TO|D0|               0,00|               0,00|               0,00|               0,00|               0,00|               0,00|               0,00|               0,00
HCF|H R Coil Finished|     417.942.000,00|          27.885,08|20181002|8000262263|         22.480,000|TO|D0|     460.990.026,00|               0,00|      41.794.200,00|       1.253.826,00|          30.757,25|               0,00|           2.788,51|              83,66
HCF|H R Coil Finished|               0,00|               0,00|20181002|8000262263|         22.460,000|TO|D0|               0,00|               0,00|               0,00|               0,00|               0,00|               0,00|               0,00|               0,00
HCF|H R Coil Finished|   1.231.902.000,00|          82.648,32|20181001|8000262205|         11.000,000|TO|D0|   1.358.787.906,00|               0,00|     123.190.200,00|       3.695.706,00|          91.161,08|               0,00|           8.264,82|             247,94
HCF|H R Coil Finished|               0,00|               0,00|20181001|8000262205|         10.960,000|TO|D0|               0,00|               0,00|               0,00|               0,00|               0,00|               0,00|               0,00|               0,00
HCF|H R Coil Finished|               0,00|               0,00|20181001|8000262205|         21.580,000|TO|D0|               0,00|               0,00|               0,00|               0,00|               0,00|               0,00|               0,00|               0,00
HCF|H R Coil Finished|               0,00|               0,00|20181001|8000262205|         20.340,000|TO|D0|               0,00|               0,00|               0,00|               0,00|               0,00|               0,00|               0,00|               0,00
HCF|H R Coil Finished|               0,00|               0,00|20181001|8000262205|         11.200,000|TO|D0|               0,00|               0,00|               0,00|               0,00|               0,00|               0,00|               0,00|               0,00
HCF|H R Coil Finished|               0,00|               0,00|20181001|8000262205|         11.280,000|TO|D0|               0,00|               0,00|               0,00|               0,00|               0,00|               0,00|               0,00|               0,00
HCF|H R Coil Finished|               0,00|               0,00|20181001|8000262205|         11.000,000|TO|D0|               0,00|               0,00|               0,00|               0,00|               0,00|               0,00|               0,00|               0,00
HCF|H R Coil Finished|               0,00|               0,00|20181001|8000262205|         11.180,000|TO|D0|               0,00|               0,00|               0,00|               0,00|               0,00|               0,00|               0,00|               0,00
HCF|H R Coil Finished|               0,00|               0,00|20181001|8000262205|         21.820,000|TO|D0|               0,00|               0,00|               0,00|               0,00|               0,00|               0,00|               0,00|               0,00
HCF|H R Coil Finished|      92.610.000,00|           6.178,94|20181002|8000262264|          9.800,000|TO|D0|     102.148.830,00|               0,00|       9.261.000,00|         277.830,00|           6.815,37|               0,00|             617,89|              18,54
HCF|H R Coil Finished|     412.020.000,00|          27.308,69|20181003|8000262437|         10.880,000|TO|D0|     454.458.060,00|               0,00|      41.202.000,00|       1.236.060,00|          30.121,48|               0,00|           2.730,87|              81,92
HCF|H R Coil Finished|               0,00|               0,00|20181003|8000262437|         21.760,000|TO|D0|               0,00|               0,00|               0,00|               0,00|               0,00|               0,00|               0,00|               0,00
HCF|H R Coil Finished|               0,00|               0,00|20181003|8000262437|         10.960,000|TO|D0|               0,00|               0,00|               0,00|               0,00|               0,00|               0,00|               0,00|               0,00
HCF|H R Coil Finished|      70.122.000,00|           4.647,69|20181003|8000262438|          7.540,000|TO|D0|      77.344.566,00|               0,00|       7.012.200,00|         210.366,00|           5.126,40|               0,00|             464,77|              13,94
HCF|H R Coil Finished|     384.804.000,00|          25.816,50|20181001|8000262206|         20.500,000|TO|D0|     424.438.812,00|               0,00|      38.480.400,00|       1.154.412,00|          28.475,60|               0,00|           2.581,65|              77,45
HCF|H R Coil Finished|               0,00|               0,00|20181001|8000262206|         20.220,000|TO|D0|               0,00|               0,00|               0,00|               0,00|               0,00|               0,00|               0,00|               0,00
HCF|H R Coil Finished|     477.225.000,00|          31.840,46|20181002|8000262265|         30.560,000|TO|D0|     526.379.175,00|               0,00|      47.722.500,00|       1.431.675,00|          35.120,02|               0,00|           3.184,04|              95,52
HCF|H R Coil Finished|               0,00|               0,00|20181002|8000262265|         19.940,000|TO|D0|               0,00|               0,00|               0,00|               0,00|               0,00|               0,00|               0,00|               0,00
HCF|H R Coil Finished|      96.600.000,00|           6.402,65|20181003|8000262439|         10.500,000|TO|D0|     106.549.800,00|               0,00|       9.660.000,00|         289.800,00|           7.062,12|               0,00|             640,26|              19,21
HSF|H R Sheet/Plate Finished|     156.798.000,00|          10.519,57|20181001|8000262180|         16.860,000|TO|D0|     172.948.194,00|               0,00|      15.679.800,00|         470.394,00|          11.603,09|               0,00|           1.051,96|              31,56
HCF|H R Coil Finished|   3.040.416.000,00|         203.981,52|20181001|8000262185|         25.520,000|TO|D0|   3.344.457.600,00|               0,00|     304.041.600,00|               0,00|         224.379,66|               0,00|          20.398,14|               0,00
HCF|H R Coil Finished|               0,00|               0,00|20181001|8000262185|         25.500,000|TO|D0|               0,00|               0,00|               0,00|               0,00|               0,00|               0,00|               0,00|               0,00
HCF|H R Coil Finished|               0,00|               0,00|20181001|8000262185|         25.560,000|TO|D0|               0,00|               0,00|               0,00|               0,00|               0,00|               0,00|               0,00|               0,00
HCF|H R Coil Finished|               0,00|               0,00|20181001|8000262185|         50.920,000|TO|D0|               0,00|               0,00|               0,00|               0,00|               0,00|               0,00|               0,00|               0,00
HCF|H R Coil Finished|               0,00|               0,00|20181001|8000262185|         50.960,000|TO|D0|               0,00|               0,00|               0,00|               0,00|               0,00|               0,00|               0,00|               0,00
HCF|H R Coil Finished|               0,00|               0,00|20181001|8000262185|         50.940,000|TO|D0|               0,00|               0,00|               0,00|               0,00|               0,00|               0,00|               0,00|               0,00
HCF|H R Coil Finished|               0,00|               0,00|20181001|8000262185|         50.280,000|TO|D0|               0,00|               0,00|               0,00|               0,00|               0,00|               0,00|               0,00|               0,00
HCF|H R Coil Finished|               0,00|               0,00|20181001|8000262185|         50.800,000|TO|D0|               0,00|               0,00|               0,00|               0,00|               0,00|               0,00|               0,00|               0,00
HCF|H R Coil Finished|     467.728.000,00|          31.206,81|20181002|8000262247|         50.840,000|TO|D0|     514.500.800,00|               0,00|      46.772.800,00|               0,00|          34.327,49|               0,00|           3.120,68|               0,00
HCF|H R Coil Finished|   2.569.192.000,00|         170.286,05|20181003|8000262398|         50.780,000|TO|D0|   2.826.111.200,00|               0,00|     256.919.200,00|               0,00|         187.314,65|               0,00|          17.028,60|               0,00
HCF|H R Coil Finished|               0,00|               0,00|20181003|8000262398|         25.320,000|TO|D0|               0,00|               0,00|               0,00|               0,00|               0,00|               0,00|               0,00|               0,00
HCF|H R Coil Finished|               0,00|               0,00|20181003|8000262398|         25.480,000|TO|D0|               0,00|               0,00|               0,00|               0,00|               0,00|               0,00|               0,00|               0,00
HCF|H R Coil Finished|               0,00|               0,00|20181003|8000262398|         25.460,000|TO|D0|               0,00|               0,00|               0,00|               0,00|               0,00|               0,00|               0,00|               0,00
HCF|H R Coil Finished|               0,00|               0,00|20181003|8000262398|         25.520,000|TO|D0|               0,00|               0,00|               0,00|               0,00|               0,00|               0,00|               0,00|               0,00
HCF|H R Coil Finished|               0,00|               0,00|20181003|8000262398|         24.780,000|TO|D0|               0,00|               0,00|               0,00|               0,00|               0,00|               0,00|               0,00|               0,00
HCF|H R Coil Finished|               0,00|               0,00|20181003|8000262398|         25.580,000|TO|D0|               0,00|               0,00|               0,00|               0,00|               0,00|               0,00|               0,00|               0,00
HCF|H R Coil Finished|               0,00|               0,00|20181003|8000262398|         25.560,000|TO|D0|               0,00|               0,00|               0,00|               0,00|               0,00|               0,00|               0,00|               0,00
HCF|H R Coil Finished|               0,00|               0,00|20181003|8000262398|         25.380,000|TO|D0|               0,00|               0,00|               0,00|               0,00|               0,00|               0,00|               0,00|               0,00
HCF|H R Coil Finished|               0,00|               0,00|20181003|8000262398|         25.400,000|TO|D0|               0,00|               0,00|               0,00|               0,00|               0,00|               0,00|               0,00|               0,00
HCF|H R Coil Finished|     205.623.000,00|          13.719,16|20181002|8000262219|         22.110,000|TO|D0|     226.185.300,00|               0,00|      20.562.300,00|               0,00|          15.091,08|               0,00|           1.371,92|               0,00
HCF|H R Coil Finished|     212.133.000,00|          14.060,17|20181003|8000262375|         22.810,000|TO|D0|     233.346.300,00|               0,00|      21.213.300,00|               0,00|          15.466,19|               0,00|           1.406,02|               0,00
HCF|H R Coil Finished|     224.848.000,00|          15.001,86|20181002|8000262251|         11.160,000|TO|D0|     248.007.344,00|               0,00|      22.484.800,00|         674.544,00|          16.547,05|               0,00|           1.500,19|              45,00
HCF|H R Coil Finished|               0,00|               0,00|20181002|8000262251|         13.280,000|TO|D0|               0,00|               0,00|               0,00|               0,00|               0,00|               0,00|               0,00|               0,00
HCF|H R Coil Finished|     116.104.000,00|           7.695,37|20181003|8000262413|         12.620,000|TO|D0|     128.062.712,00|               0,00|      11.610.400,00|         348.312,00|           8.488,00|               0,00|             769,54|              23,09
HCF|H R Coil Finished|     115.736.000,00|           7.721,90|20181002|8000262252|         12.580,000|TO|D0|     127.656.808,00|               0,00|      11.573.600,00|         347.208,00|           8.517,26|               0,00|             772,19|              23,17
HCF|H R Coil Finished|     123.280.000,00|           8.270,85|20181001|8000262207|         13.400,000|TO|D0|     135.977.840,00|               0,00|      12.328.000,00|         369.840,00|           9.122,75|               0,00|             827,09|              24,81
HCF|H R Coil Finished|     123.648.000,00|           8.195,38|20181003|8000262440|         13.440,000|TO|D0|     136.383.744,00|               0,00|      12.364.800,00|         370.944,00|           9.039,51|               0,00|             819,54|              24,59
HCF|H R Coil Finished|     211.392.000,00|          14.182,29|20181001|8000262181|         22.020,000|TO|D0|     233.165.376,00|               0,00|      21.139.200,00|         634.176,00|          15.643,07|               0,00|           1.418,23|              42,55
HCF|H R Coil Finished|     116.280.000,00|           7.758,21|20181002|8000262241|         12.240,000|TO|D0|     128.256.840,00|               0,00|      11.628.000,00|         348.840,00|           8.557,30|               0,00|             775,82|              23,27
HSF|H R Sheet/Plate Finished|     233.802.000,00|          15.496,40|20181003|8000262407|         25.140,000|TO|D0|     257.883.606,00|               0,00|      23.380.200,00|         701.406,00|          17.092,53|               0,00|           1.549,64|              46,49
HCF|H R Coil Finished|      87.744.000,00|           5.886,75|20181001|8000262182|          9.140,000|TO|D0|      96.781.632,00|               0,00|       8.774.400,00|         263.232,00|           6.493,08|               0,00|             588,67|              17,66
HCF|H R Coil Finished|     361.536.000,00|          24.121,68|20181002|8000262242|         37.660,000|TO|D0|     398.774.208,00|               0,00|      36.153.600,00|       1.084.608,00|          26.606,22|               0,00|           2.412,17|              72,37
HCF|H R Coil Finished|     565.404.000,00|          37.932,96|20181001|8000262172|         16.740,000|TO|D0|     621.944.400,00|               0,00|      56.540.400,00|               0,00|          41.726,25|               0,00|           3.793,29|               0,00
HCF|H R Coil Finished|               0,00|               0,00|20181001|8000262172|         13.140,000|TO|D0|               0,00|               0,00|               0,00|               0,00|               0,00|               0,00|               0,00|               0,00
HCF|H R Coil Finished|               0,00|               0,00|20181001|8000262172|         31.080,000|TO|D0|               0,00|               0,00|               0,00|               0,00|               0,00|               0,00|               0,00|               0,00
HCF|H R Coil Finished|     507.342.500,00|          33.849,89|20181002|8000262232|         21.820,000|TO|D0|     558.076.750,00|               0,00|      50.734.250,00|               0,00|          37.234,88|               0,00|           3.384,99|               0,00
HCF|H R Coil Finished|               0,00|               0,00|20181002|8000262232|         16.420,000|TO|D0|               0,00|               0,00|               0,00|               0,00|               0,00|               0,00|               0,00|               0,00
HCF|H R Coil Finished|               0,00|               0,00|20181002|8000262232|         16.460,000|TO|D0|               0,00|               0,00|               0,00|               0,00|               0,00|               0,00|               0,00|               0,00
HCF|H R Coil Finished|     139.310.500,00|           9.233,50|20181003|8000262384|         15.020,000|TO|D0|     153.241.550,00|               0,00|      13.931.050,00|               0,00|          10.156,85|               0,00|             923,35|               0,00
HSF|H R Sheet/Plate Finished|     327.551.616,00|          21.854,23|20181002|8000262243|         14.470,000|TO|D0|     361.289.431,00|               0,00|      32.755.161,00|         982.654,00|          24.105,23|               0,00|           2.185,43|              65,57
HSF|H R Sheet/Plate Finished|               0,00|               0,00|20181002|8000262243|          6.990,000|TO|D0|               0,00|               0,00|               0,00|               0,00|               0,00|               0,00|               0,00|               0,00
HSF|H R Sheet/Plate Finished|               0,00|               0,00|20181002|8000262243|         10.820,000|TO|D0|               0,00|               0,00|               0,00|               0,00|               0,00|               0,00|               0,00|               0,00
HSF|H R Sheet/Plate Finished|               0,00|               0,00|20181003|8000262392|          7.380,000|TO|D0|               0,00|               0,00|               0,00|               0,00|               0,00|               0,00|               0,00|               0,00
HSF|H R Sheet/Plate Finished|     334.451.712,00|          22.167,46|20181003|8000262392|         14.340,000|TO|D0|     368.900.238,00|               0,00|      33.445.171,00|       1.003.355,00|          24.450,71|               0,00|           2.216,75|              66,50
HSF|H R Sheet/Plate Finished|               0,00|               0,00|20181003|8000262392|         11.240,000|TO|D0|               0,00|               0,00|               0,00|               0,00|               0,00|               0,00|               0,00|               0,00
HSF|H R Sheet/Plate Finished|      50.025.696,00|           3.356,22|20181001|8000262183|          4.930,000|TO|D0|      55.178.342,00|               0,00|       5.002.569,00|         150.077,00|           3.701,91|               0,00|             335,62|              10,07
HSF|H R Sheet/Plate Finished|     358.399.104,00|          23.912,38|20181002|8000262244|         18.860,000|TO|D0|     395.314.211,00|               0,00|      35.839.910,00|       1.075.197,00|          26.375,36|               0,00|           2.391,24|              71,74
HSF|H R Sheet/Plate Finished|               0,00|               0,00|20181002|8000262244|         16.460,000|TO|D0|               0,00|               0,00|               0,00|               0,00|               0,00|               0,00|               0,00|               0,00
HSF|H R Sheet/Plate Finished|     322.883.904,00|          21.400,74|20181003|8000262393|         10.680,000|TO|D0|     356.140.945,00|               0,00|      32.288.390,00|         968.651,00|          23.605,02|               0,00|           2.140,08|              64,20
HSF|H R Sheet/Plate Finished|               0,00|               0,00|20181003|8000262393|         10.240,000|TO|D0|               0,00|               0,00|               0,00|               0,00|               0,00|               0,00|               0,00|               0,00
HSF|H R Sheet/Plate Finished|               0,00|               0,00|20181003|8000262393|         10.900,000|TO|D0|               0,00|               0,00|               0,00|               0,00|               0,00|               0,00|               0,00|               0,00
HCF|H R Coil Finished|     177.928.000,00|          11.871,36|20181002|8000262253|         19.340,000|TO|D0|     196.254.584,00|               0,00|      17.792.800,00|         533.784,00|          13.094,11|               0,00|           1.187,14|              35,61
HCF|H R Coil Finished|     118.128.000,00|           7.829,52|20181003|8000262414|         12.840,000|TO|D0|     130.295.184,00|               0,00|      11.812.800,00|         354.384,00|           8.635,96|               0,00|             782,95|              23,49
HCF|H R Coil Finished|      91.698.000,00|           6.118,09|20181002|8000262254|          9.860,000|TO|D0|     101.142.894,00|               0,00|       9.169.800,00|         275.094,00|           6.748,25|               0,00|             611,81|              18,35
HCF|H R Coil Finished|      97.152.000,00|           6.517,93|20181001|8000262184|         10.120,000|TO|D0|     107.158.656,00|               0,00|       9.715.200,00|         291.456,00|           7.189,27|               0,00|             651,79|              19,55
HCF|H R Coil Finished|      94.080.000,00|           6.235,62|20181003|8000262394|          9.800,000|TO|D0|     103.770.240,00|               0,00|       9.408.000,00|         282.240,00|           6.877,89|               0,00|             623,56|              18,71
HCF|H R Coil Finished|     521.640.000,00|          34.574,30|20181003|8000262415|          9.240,000|TO|D0|     575.368.920,00|               0,00|      52.164.000,00|       1.564.920,00|          38.135,45|               0,00|           3.457,42|             103,73
HCF|H R Coil Finished|               0,00|               0,00|20181003|8000262415|          9.160,000|TO|D0|               0,00|               0,00|               0,00|               0,00|               0,00|               0,00|               0,00|               0,00
HCF|H R Coil Finished|               0,00|               0,00|20181003|8000262415|          9.460,000|TO|D0|               0,00|               0,00|               0,00|               0,00|               0,00|               0,00|               0,00|               0,00
HCF|H R Coil Finished|               0,00|               0,00|20181003|8000262415|         19.180,000|TO|D0|               0,00|               0,00|               0,00|               0,00|               0,00|               0,00|               0,00|               0,00
HCF|H R Coil Finished|               0,00|               0,00|20181003|8000262415|          9.660,000|TO|D0|               0,00|               0,00|               0,00|               0,00|               0,00|               0,00|               0,00|               0,00
HCF|H R Coil Finished|     183.080.000,00|          12.215,10|20181002|8000262255|          9.760,000|TO|D0|     201.937.240,00|               0,00|      18.308.000,00|         549.240,00|          13.473,25|               0,00|           1.221,51|              36,64
HCF|H R Coil Finished|               0,00|               0,00|20181002|8000262255|         10.140,000|TO|D0|               0,00|               0,00|               0,00|               0,00|               0,00|               0,00|               0,00|               0,00
HCF|H R Coil Finished|   1.369.328.000,00|          90.759,07|20181003|8000262416|         10.100,000|TO|D0|   1.510.368.784,00|               0,00|     136.932.800,00|       4.107.984,00|         100.107,24|               0,00|           9.075,90|             272,27
HCF|H R Coil Finished|               0,00|               0,00|20181003|8000262416|         19.980,000|TO|D0|               0,00|               0,00|               0,00|               0,00|               0,00|               0,00|               0,00|               0,00
HCF|H R Coil Finished|               0,00|               0,00|20181003|8000262416|         10.000,000|TO|D0|               0,00|               0,00|               0,00|               0,00|               0,00|               0,00|               0,00|               0,00
HCF|H R Coil Finished|               0,00|               0,00|20181003|8000262416|         30.160,000|TO|D0|               0,00|               0,00|               0,00|               0,00|               0,00|               0,00|               0,00|               0,00
HCF|H R Coil Finished|               0,00|               0,00|20181003|8000262416|         19.800,000|TO|D0|               0,00|               0,00|               0,00|               0,00|               0,00|               0,00|               0,00|               0,00
HCF|H R Coil Finished|               0,00|               0,00|20181003|8000262416|          9.880,000|TO|D0|               0,00|               0,00|               0,00|               0,00|               0,00|               0,00|               0,00|               0,00
HCF|H R Coil Finished|               0,00|               0,00|20181003|8000262416|         10.060,000|TO|D0|               0,00|               0,00|               0,00|               0,00|               0,00|               0,00|               0,00|               0,00
HCF|H R Coil Finished|               0,00|               0,00|20181003|8000262416|          9.800,000|TO|D0|               0,00|               0,00|               0,00|               0,00|               0,00|               0,00|               0,00|               0,00
HCF|H R Coil Finished|               0,00|               0,00|20181003|8000262416|         10.000,000|TO|D0|               0,00|               0,00|               0,00|               0,00|               0,00|               0,00|               0,00|               0,00
HCF|H R Coil Finished|               0,00|               0,00|20181003|8000262416|         10.720,000|TO|D0|               0,00|               0,00|               0,00|               0,00|               0,00|               0,00|               0,00|               0,00
HCF|H R Coil Finished|               0,00|               0,00|20181003|8000262416|          8.340,000|TO|D0|               0,00|               0,00|               0,00|               0,00|               0,00|               0,00|               0,00|               0,00
HCF|H R Coil Finished|               0,00|               0,00|20181002|8000262256|         12.340,000|TO|D0|               0,00|               0,00|               0,00|               0,00|               0,00|               0,00|               0,00|               0,00
HCF|H R Coil Finished|     712.264.000,00|          47.522,26|20181002|8000262256|         13.220,000|TO|D0|     785.627.192,00|               0,00|      71.226.400,00|       2.136.792,00|          52.417,05|               0,00|           4.752,24|             142,55
HCF|H R Coil Finished|               0,00|               0,00|20181002|8000262256|         12.540,000|TO|D0|               0,00|               0,00|               0,00|               0,00|               0,00|               0,00|               0,00|               0,00
HCF|H R Coil Finished|               0,00|               0,00|20181002|8000262256|         13.120,000|TO|D0|               0,00|               0,00|               0,00|               0,00|               0,00|               0,00|               0,00|               0,00
HCF|H R Coil Finished|               0,00|               0,00|20181002|8000262256|         13.360,000|TO|D0|               0,00|               0,00|               0,00|               0,00|               0,00|               0,00|               0,00|               0,00
HCF|H R Coil Finished|               0,00|               0,00|20181002|8000262256|         12.840,000|TO|D0|               0,00|               0,00|               0,00|               0,00|               0,00|               0,00|               0,00|               0,00
HCF|H R Coil Finished|     241.040.000,00|          15.976,13|20181003|8000262417|         13.180,000|TO|D0|     265.867.120,00|               0,00|      24.104.000,00|         723.120,00|          17.621,67|               0,00|           1.597,61|              47,93
HCF|H R Coil Finished|               0,00|               0,00|20181003|8000262417|         13.020,000|TO|D0|               0,00|               0,00|               0,00|               0,00|               0,00|               0,00|               0,00|               0,00
HCF|H R Coil Finished|     207.018.000,00|          13.812,24|20181002|8000262257|         22.260,000|TO|D0|     228.340.854,00|               0,00|      20.701.800,00|         621.054,00|          15.234,90|               0,00|           1.381,22|              41,44
HCF|H R Coil Finished|      92.184.000,00|           6.109,95|20181003|8000262418|         10.020,000|TO|D0|     101.678.952,00|               0,00|       9.218.400,00|         276.552,00|           6.739,28|               0,00|             611,00|              18,33
HCF|H R Coil Finished|     521.088.000,00|          34.537,72|20181003|8000262419|          9.500,000|TO|D0|     574.760.064,00|               0,00|      52.108.800,00|       1.563.264,00|          38.095,10|               0,00|           3.453,77|             103,61
HCF|H R Coil Finished|               0,00|               0,00|20181003|8000262419|          9.320,000|TO|D0|               0,00|               0,00|               0,00|               0,00|               0,00|               0,00|               0,00|               0,00
HCF|H R Coil Finished|               0,00|               0,00|20181003|8000262419|          9.500,000|TO|D0|               0,00|               0,00|               0,00|               0,00|               0,00|               0,00|               0,00|               0,00
HCF|H R Coil Finished|               0,00|               0,00|20181003|8000262419|         18.680,000|TO|D0|               0,00|               0,00|               0,00|               0,00|               0,00|               0,00|               0,00|               0,00
HCF|H R Coil Finished|               0,00|               0,00|20181003|8000262419|          9.640,000|TO|D0|               0,00|               0,00|               0,00|               0,00|               0,00|               0,00|               0,00|               0,00
HCF|H R Coil Finished|     181.976.000,00|          12.141,44|20181002|8000262258|         10.160,000|TO|D0|     200.719.528,00|               0,00|      18.197.600,00|         545.928,00|          13.392,01|               0,00|           1.214,15|              36,42
